,text
10,"['objective', 'way', 'looking', 'thing', 'freed', 'considerations', 'personal', 'reactions', 'thing', 'pith', 'method', 'constitutes', 'called', 'knowing', 'yathabhuta', 'ñanadassana', 'quality', 'reckoning', 'just', 'present', 'mindfulness', 'cuts', 'discursive', 'thought', 'prepares', 'mind', 'actual', 'characteristics', 'cognized', 'objects', 'sense', 'mindfulness', 'lets', 'objects', 'speak', 'unfold', 'nature']"
11,[]
12,"['predisposes', 'opens', 'mind', 'impressions', 'truth', 'induces', 'mental', 'pliancy', 'mood', 'spiritual', 'receptivity', 'basis', 'highest', 'intuition']"
13,[]
14,"['way', 'arousing', 'mindfulness', 'sets', 'forth', 'duty', 'meditator', 'provides', 'phase', 'process', 'training', 'insight', 'strenuous', 'wholetime', 'work', 'resolute', 'hearts', 'consciousness', 'lifes', 'suffering', 'runs', 'deep', 'hope', 'pursue', 'end', 'attainment', 'arahantship']"
15,[]
16,"['buddhas', 'goal', 'emancipation', 'attained', 'extirpation', 'craving', 'spiritual', 'ignorance', 'wins', 'gains', 'lasting', 'mental', 'strength', 'contentment', 'source', 'real', 'peace', 'equanimity']"
17,[]
18,"['lack', 'freedom', 'consists', 'subjection', 'hate', 'lust', 'ignorance', 'virtuous', 'conduct', 'wipes', 'hate', 'calm', 'skillful', 'concentration', 'casts', 'lust', 'wise', 'understanding', 'world', 'oneself', 'dispels', 'ignorance', 'way', 'mindfulness', 'designed', 'attainment', 'fullest', 'inner', 'freedom']"
19,[]
20,"['satisfying', 'way', 'seeker', 'truth', 'diffuseness', 'papañca', 'external', 'world', 'layer', 'culture', 'comfort', 'allurement', 'ceases', 'interesting', 'lack', 'true', 'value', 'seeker', 'knows', 'certainty', 'wants', 'realm', 'spirit', 'feels', 'reach', 'vision', 'oneness', 'ekatta', 'enduring', 'dhuva', 'transcending', 'diversity', 'nanatta', 'change', 'aniccata', 'wants', 'inward', 'integrity', 'intactness', 'inviolability', 'based', 'unshakable', 'deliverance', 'mind', 'sway', 'conditioned', 'phenomena', 'way', 'mindfulness', 'leads', 'showing', 'penetrate', 'singleness', 'nature', 'ekasabhava', 'supreme', 'void', 'agga', 'suñña', 'nibbana', 'permeated', 'taste', 'ekarasa', 'liberation', 'vimutti']"
21,[]
22,"['way', 'mindfulness', 'reaches', 'stage', 'supramundane', 'fulfillment', 'technically', 'known', 'entry', 'stream', 'arrival', 'unswerving', 'path', 'goal', 'deviations', 'point', 'direct', 'glimpse', 'goal', 'obtained']"
23,[]
24,"['discourse', 'arousing', 'mindfulness', 'deals', 'preparatory', 'mundane', 'way', 'mindfulness', 'immediate', 'practical', 'value', 'worldlings', 'valleys', 'spirit', 'far', 'supramundane', 'peaks']"
25,[]
26,"['mindfulness', 'process', 'event', 'arising', 'passing', 'away', 'momentarily', 'like', 'mental', 'property', 'basic', 'power', 'shelter', 'refuge', 'mind', 'role', 'plays', 'drama', 'transition', 'ignorance', 'knowledge', 'differs', 'considerably', 'according', 'properties', 'mind', 'works']"
27,[]
28,"['instance', 'association', 'right', 'understanding', 'group', 'comprises', 'wisdom', 'intense', 'knowledge', 'discrimination', 'research', 'investigation', 'things', 'consideration', 'close', 'examination', 'pondering', 'learning', 'skillfulness', 'keenwittedness', 'analysis', 'reflection', 'vision', 'sagacity', 'discernment', 'leads', 'aright', 'penetrative', 'insight', 'clear', 'comprehension', 'rational', 'combined', 'right', 'concentration', 'cognates', 'mental', 'steadfastness', 'serenity', 'immovability', 'quietude', 'nondistraction', 'pacification', 'intuitive']"
29,[]
30,"['intuitive', 'rational', 'role', 'preclude', 'mindfulness', 'communicating', 'regulative', 'impulse', 'moderation', 'mind', 'times', 'property', 'proper', 'proportion', 'response', 'mind', 'mental', 'objects']"
31,[]
32,"['mindfulness', 'memory', 'indicated', 'terms', 'annussati', 'calling', 'mind', 'patissati', 'remembrance', 'dharanata', 'bearing', 'mind', 'saranata', 'recollection', 'connection', 'process', 'mindfulness', 'compared', 'treasurer', 'king', 'reminds', 'king', 'royal', 'possessions', 'daily', 'night', 'morning']"
33,[]
34,"['mindfulness', 'aspirant', 'highest', 'goal', 'liberation', 'suffering', 'reminds', 'virtue', 'concentration', 'wisdom', 'constitute', 'possessions', 'good', 'life', 'dispensation', 'buddha', 'value', 'recollective', 'activity', 'mindfulness', 'seen', 'increasing', 'awareness', 'essentials', 'holy', 'living', 'aspirants', 'mind', 'growing', 'strength', 'purpose', 'realizing', 'himself']"
35,[]
36,"['stands', 'mindfulness', 'activity', 'takes', 'care', 'mind', 'protects', 'compared', 'wagon', 'driver', 'ties', 'oxen', 'wagons', 'yoke', 'greases', 'axle', 'drives', 'wagon', 'making', 'oxen', 'gently', 'activity', 'mindfulness', 'looks', 'smooth', 'working', 'movement', 'mind', 'takes', 'notice', 'processes', 'skillful', 'taking', 'place', 'consciousness']"
37,[]
38,"['complex', 'forms', 'selective', 'integrative', 'action', 'mind', 'selective', 'activity', 'compared', 'work', 'chief', 'adviser', 'king', 'adviser', 'instrumental', 'distinguishing', 'good', 'bad', 'getting', 'good', 'avoiding', 'bad', 'mindfulness', 'distinguishes', 'worthy', 'unworthy', 'things', 'avoids', 'unworthy', 'obtains', 'worthy']"
39,[]
40,"['integrative', 'character', 'mindfulness', 'like', 'ministerofallwork', 'king', 'wanted', 'putting', 'project', 'king', 'commissioned', 'organise', 'combine', 'workers', 'execute', 'tasks', 'mindfulness', 'like', 'minister', 'organizing', 'activity', 'mind', 'necessary', 'development', 'wholesome', 'states', 'consciousness', 'combines', 'various', 'qualities', 'compose', 'states', 'puts', 'appropriate', 'tasks', 'keeps', 'proper', 'working', 'order', 'strength', 'integrating', 'mindfulness', 'conscious', 'state', 'skill', 'functions', 'harmoniously', 'wellknit', 'unity', 'activity', 'mindfulness', 'work', 'aspirant', 'complete', 'stage', 'progress']"
41,[]
42,"['integrating', 'mindfulness', 'sees', 'lacks', 'deficiencies', 'brings', 'needed', 'qualities', 'suitably', 'applies', 'called', 'highest', 'wisdom', 'mindfulness', 'parama', 'satinepakka', 'constitutes', 'core', 'mindfulness', 'included', 'real', 'way', 'ariya', 'magga', 'pariyapanna', 'sati', 'way', 'factor', 'mindfulness', 'sati', 'magganga', 'enlightenment', 'factor', 'mindfulness', 'sati', 'sambojjhanga', 'right', 'mindfulness', 'sammasati', 'sense', 'term']"
43,[]
44,"['foregoing', 'seen', 'mindfulness', 'holds', 'things', 'mental', 'flux', 'brings', 'prevents', 'floating', 'away', 'getting', 'submerged', 'forgotten', 'lost', 'mindfulness', 'reconstitution', 'acquired', 'knowledge', 'consciousness', 'itself', 'break', 'pieces', 'fragmentary', 'unable', 'properly', 'work', 'cognition', 'mindfulness', 'wisdom', 'highest', 'kind', 'mindfulness', 'includes', 'clear', 'comprehension', 'cognition', 'superficial', 'knowledge', 'things', 'gained', 'different', 'relations', 'different', 'angles', 'work', 'discernment', 'discrimination', 'peculiar', 'selective', 'activity', 'really', 'constructive', 'understanding', 'yield', 'integration', 'penetrative', 'vision', 'significance', 'spiritual', 'things', 'reached']"
45,[]
46,"['strongly', 'mindful', 'plants', 'ones', 'consciousness', 'deep', 'object', 'like', 'firm', 'post', 'sunk', 'ground', 'withstands', 'tempestuous', 'clamour', 'extraneous', 'sublime', 'ignoring', 'nonessentials', 'mean', 'narrow', 'outlook', 'wrongly', 'restricted', 'strong', 'mindfulness', 'ignores', 'unnecessary', 'adhering', 'center', 'business', 'hand', 'extends', 'view', 'important', 'peripheral', 'conditions', 'widespreading', 'watchfulness', 'resembling', 'sentinel', 'tower', 'scanning', 'horizon', 'glint', 'armour', 'balance', 'width', 'depth', 'mindfulness', 'steers', 'clear', 'extremes', 'lopsided', 'vision', 'practice']"
47,[]
48,"['sense', 'overcoming', 'mental', 'conflict', 'sense', 'getting', 'rid', 'unclarity', 'incapacity', 'judge', 'aright', 'indefiniteness', 'mental', 'unquiet', 'mindfulness', 'controlling', 'faculty', 'indriya', 'controlling', 'faculty', 'mindfulness', 'absence', 'confusion', 'asamussanata', 'produces', 'lucidity', 'thought', 'sound', 'judgment', 'definiteness', 'outlook', 'mindfulness', 'accompanied', 'keen', 'understanding', 'appears', 'controlling', 'faculty', 'mindfulness']"
49,[]
50,"['mindfulness', 'accompanied', 'sustained', 'energy', 'mindfulness', 'considered', 'spiritual', 'power', 'bala', 'quality', 'earnestness', 'appamada', 'destroys', 'wavering', 'negligence', 'pamada', 'negligence', 'wandering', 'mind', 'objects', 'fivefold', 'sensepleasure', 'repeatedly', 'absence', 'thoroughness', 'perseverance', 'steadfastness', 'doing', 'good', 'behavior', 'stuck', 'mire', 'worldliness', 'casting', 'aside', 'desire', 'right', 'casting', 'aside', 'duties', 'belong', 'absence', 'practice', 'development', 'increase', 'wholesome', 'qualities', 'lack', 'right', 'resolve', 'want', 'application', 'earnestness', 'opposite', 'negligence', 'connotes', 'according', 'meaning', 'earnestness', 'nonneglect', 'mindfulness', 'atthato', 'satiya', 'avippavaso', 'earnestness', 'mindfulness', 'active', 'constantly', 'work', 'earnestness', 'explained', 'mental', 'aggregates', 'feeling', 'perception', 'consciousness', 'formations', 'proceeding', 'application', 'mindfulness', 'clear', 'comprehension', 'satisampajaññayogena', 'pavatta', 'cattaro', 'arupino', 'khandha', 'appamado']"
51,[]
52,"['buddha', 'taught', 'time', 'enlightenment', 'passing', 'away', 'element', 'immortality', 'summed', 'sentence', 'strive', 'earnestness', 'words', 'master', 'earnestness', 'runs', 'buddhaword', 'embraces', 'like', 'elephants', 'footprint', 'able', 'contain', 'footprint', 'animal', 'blessed', 'say', 'wholesome', 'things', 'founded', 'earnestness', 'converge', 'earnestness', 'earnestness', 'considered', 'excellent']"
53,[]
54,"['mindfulness', 'sense', 'chief', 'characteristic', 'skillful', 'actions', 'leading', 'bliss', 'tending', 'ones', 'profit', 'force', 'pushes', 'right', 'practice', 'given', 'careful', 'thought', 'buddhas', 'teaching']"
55,[]
56,"['life', 'understood', 'dispensation', 'buddha', 'unsatisfactory', 'moral', 'joy', 'meditative', 'tranquillity', 'wise', 'understanding', 'reach', 'mental', 'invulnerability', 'suffering', 'way', 'mindfulness', 'understanding', 'tranquillity', 'illumined', 'bright', 'moral', 'character', 'blameless', 'happy', 'life', 'virtue', 'possible', 'tranquilize', 'heart', 'intellect', 'keen', 'clear', 'spiritual', 'perfection', 'spiritual', 'man', 'person', 'sensitive', 'heightened', 'consciousness', 'finds', 'slight', 'moral', 'guilt', 'burdensome', 'help', 'avoiding', 'traces', 'strict', 'adherence', 'virtue', 'owing', 'remorse', 'backslidings', 'preoccupation', 'right', 'inner', 'environment', 'climate', 'developing', 'placidity', 'insight', 'produce', 'power', 'perfect', 'equanimity', 'necessary', 'changing', 'mental', 'slavery', 'freedom', 'cheerful', 'joyous', 'atmosphere', 'virtue', 'gives', 'necessary', 'aspirant', 'nibbana', 'spiritually', 'alive']"
57,[]
58,"['discourse', 'arousing', 'mindfulness', 'speak', 'virtue', 'directly', 'principally', 'concerned', 'calming', 'mind', 'wise', 'understanding', 'presence', 'virtuefoundation', 'implied', 'instruction', 'mindfulness', 'intended', 'purification', 'beings', 'purification', 'dhamma', 'begin', 'purification', 'virtue', 'sila', 'visuddhi', 'purification', 'virtue', 'sila', 'patitthaya', 'wise', 'man', 'develops', 'concentration', 'wisdom', 'attains', 'liberation', 'commentary', 'explanation', 'prove', 'importance', 'virtue', 'aspirant', 'tranquillity', 'understanding', 'help', 'protecting', 'preserving', 'perfecting', 'virtue']"
59,[]
60,"['way', 'mindfulness', 'moves', 'equanimity', 'fully', 'quieted', 'mind', 'firm', 'sure', 'ground', 'active', 'virtue', 'virtuous', 'basis', 'reliable', 'way', 'highest', 'security', 'free', 'bogs', 'swamps', 'sloughs', 'vice', 'dangerous', 'futility', 'inaction']"
61,[]
62,"['analysis', 'salient', 'feature', 'method', 'arriving', 'knowledge', 'buddhadhamma', 'buddha', 'master', 'analytic', 'knowledge', 'doctrine', 'called', 'teaching', 'analysis', 'vibhajjavada', 'way', 'mindfulness', 'naturally', 'replete', 'application', 'principles', 'analysis', 'sentient', 'radically', 'searched', 'manifold', 'analysis', 'unanalysable', 'relative', 'analysable', 'conditioned', 'dependent', 'absolute', 'unconditioned', 'independent', 'analysable', 'absolute', 'sentient', 'sentient', 'relative', 'answer', 'aspirant', 'convinced', 'valid', 'thought', 'experience', 'order', 'reach', 'glimpse', 'goal', 'training', 'think', 'lines', 'indicated', 'way', 'able', 'conclude', 'certainty', 'nature', 'sentient', 'individuality', 'really', 'immovable', 'basis', 'correct', 'knowledge', 'rests', 'final', 'realization', 'supra', 'mundane', 'perfection']"
63,[]
64,"['aim', 'analysis', 'way', 'buddha', 'attain', 'correct', 'understanding', 'component', 'parts', 'sentient', 'existence', 'relations', 'rightly', 'grasping', 'unique', 'totality', 'individual', 'emerges', 'relations', 'buddha', 'ability', 'gauge', 'uniqueness', 'individual', 'totality', 'consummately', 'important', 'thing', 'noted', 'just', 'generally', 'accurate', 'perception', 'significance', 'totality', 'thing', 'distinct', 'possessing', 'character', 'clearly', 'merely', 'described', 'defined', 'parts', 'result', 'teamwork', 'forces', 'wisdom', 'concentrated', 'vision', 'analysis', 'parts', 'lays', 'bare', 'constituent', 'components', 'analysis', 'relations', 'gives', 'sense', 'totality', 'differences', 'uniqueness', 'seen', 'subtle', 'distinctions', 'relations', 'uniqueness', 'personality', 'individuality', 'entirety', 'living', 'depends', 'countless', 'number', 'changing', 'relations', 'infinite', 'variety', 'subtle', 'nuances', 'endless', 'possibilities', 'separate', 'lifeflux', 'analytic', 'nature', 'way', 'leads', 'finally', 'vision', 'sentient', 'uniquely', 'related', 'totality', 'transcends', 'parts', 'character', 'sense', 'totality', 'logic', 'analysis', 'leads', 'realized', 'true', 'intensity', 'absorptive', 'unifying', 'activity', 'concentrative', 'thought']"
65,[]
66,"['development', 'penetrative', 'insight', 'vipassana', 'combines', 'tranquilizing', 'concentration', 'samatha', 'functions', 'way', 'outstrip', 'gain', 'uniformity', 'force', 'overdoing', 'analysis', 'agitation', 'indolence', 'creeps', 'tranquillity']"
67,[]
68,"['searching', 'analysis', 'predominantly', 'intellective', 'work', 'insight', 'wholehearted', 'acceptance', 'principally', 'intuitive', 'springs', 'placidity', 'concentration', 'sense', 'yoking', 'yuganandhatthena', 'letting', 'overwhelming', 'anativattanatthena', 'contemplative', 'balance', 'reached', 'balance', 'manifested', 'sober', 'serene', 'steadfast', 'acceptance', 'truth', 'analysis', 'reveals']"
69,[]
70,"['middle', 'way', 'overlook', 'valuable', 'knowledge', 'experience', 'spirit', 'edge', 'sideways', 'goes', 'straight', 'forward', 'intent', 'real', 'free', 'biases', 'looks', 'aware', 'way', 'transcend', 'narrow', 'vision', 'barricaded', 'individuality', 'indefinable', 'looseness', 'view', 'dissipated', 'disintegrated', 'spirit']"
71,[]
72,"['middle', 'way', 'mindfulness', 'clearly', 'based', 'revelation', 'dogmas', 'vacuous', 'beliefs', 'like', 'supreme', 'creator', 'god', 'eternal', 'soul', 'irrational', 'extreme', 'irrational', 'teaching', 'buddha', 'buddhist', 'scriptures', 'contrary', 'said', 'word', 'buddha', 'masters', 'utterance', 'blessed', 'acknowledges', 'truth', 'whomsoever', 'spoken']"
73,[]
74,"['raise', 'person', 'keen', 'sense', 'awareness', 'regard', 'object', 'bring', 'activity', 'forth', 'stir', 'controlling', 'faculty', 'power', 'enlightenment', 'factor', 'way', 'factor', 'mindfulness', 'arousing', 'mindfulness', 'designed']"
75,[]
76,"['arousing', 'mindfulness', 'regard', 'body', 'feeling', 'consciousness', 'mental', 'object', 'considered', 'beginning', 'road', 'insight', 'arousings', 'sense', 'startingpoints', 'arousing', 'mindfulness', 'wakes', 'heedfulness', 'intentness', 'carefulness', 'state', 'mental', 'preparedness', 'regard', 'work', 'hand']"
77,[]
78,"['arousings', 'mindfulness', 'regards', 'objects', 'sense', 'taking', 'place', 'single', 'way', 'quietude', 'charged', 'insight', 'leads', 'nibbana']"
79,[]
80,"['different', 'objects', 'mindfulness', 'body', 'feeling', 'consciousness', 'mental', 'objects', 'understood', 'reaches', 'sanctitude', 'according', 'character', 'temperament', 'cognizing', 'slant', 'preliminary', 'object', 'contemplation', 'case', 'owing', 'lack', 'proper', 'understanding', 'oneself', 'try', 'objects', 'gets', 'know', 'suits', 'best', 'preliminary', 'work', 'choice', 'difficult', 'fact', 'clearcut', 'natures', 'mixture', 'little', 'possible', 'human', 'characteristic', 'circumstances', 'alternative', 'method', 'trial', 'error', 'earnest', 'ones', 'way', 'persistence', 'sustained', 'effort']"
81,[]
82,"['character', 'types', 'determined', 'excess', 'sensuous', 'qualities', 'craving', 'asensuous', 'qualities', 'abstract', 'beliefs', 'personality', 'craving', 'type', 'generally', 'extrovert', 'generally', 'introvert', 'according', 'temperament', 'mental', 'functioning', 'slow', 'languid', 'mentally', 'mentally', 'keen', 'nervous', 'type', 'understood', 'terms', 'languid', 'nervous', 'necessary', 'connection', 'calm', 'excitement', 'nervous', 'cool', 'languid', 'fluster', 'nervous', 'type', 'sensitive', 'strong', 'vigorous', 'keen', 'nervous', 'think', 'forcefully', 'clearly', 'languid', 'sluggish', 'inert', 'weak', 'unclear', 'discursive', 'mixedup', 'thought', 'cognizing', 'slant', 'intuitive', 'intellective']"
83,[]
84,"['according', 'character', 'temperament', 'bodyobject', 'recommended', 'languid', 'extravert', 'feelingobject', 'nervous', 'extrovert', 'languid', 'introvert', 'consciousnessobject', 'recommended', 'nervous', 'introvert', 'mental', 'objects']"
85,[]
86,"['according', 'cognizing', 'slant', 'temperament', 'bodyobject', 'pointed', 'mentally', 'slow', 'belong', 'intuitive', 'kind', 'concentration', 'vehicle', 'progress', 'mentally', 'keen', 'kind', 'feelingobject', 'mentally', 'slow', 'belong', 'intellective', 'kind', 'insight', 'vehicle', 'consciousnessobject', 'recommended', 'mentally', 'keen', 'kind', 'mental', 'object']"
87,[]
88,"['contemplation', 'body', 'destroys', 'delusion', 'beauty', 'feeling', 'destroys', 'delusion', 'pleasure', 'contemplation', 'consciousness', 'dispels', 'delusion', 'permanence', 'mental', 'objects', 'delusion', 'soul']"
89,[]
90,"['person', 'wishes', 'practice', 'meditation', 'according', 'instruction', 'buddha', 'arousing', 'mindfulness', 'read', 'discourse', 'commentary', 'synopsis', 'fair', 'idea', 'trend', 'teaching', 'today', 'people', 'old', 'learn', 'discourse', 'heart', 'preparation', 'practice', 'memorizing', 'helpful', 'certain', 'types', 'essential', 'essential', 'think', 'long', 'deep', 'instruction', 'gets', 'hang', 'application', 'daily', 'life', 'repeated', 'reflection', 'implications', 'discourse', 'effective', 'instrument', 'mental', 'culture']"
91,[]
92,"['core', 'instruction', 'sections', 'dealing', 'modes', 'deportment', 'clear', 'comprehension', 'intended', 'types', 'aspirants', 'commentary', 'sections', 'important', 'carefully', 'studied', 'practice', 'mindfulness', 'depends', 'correct', 'grasp', 'exercises', 'included', 'parts', 'referred']"
93,[]
94,"['look', 'rest', 'exercises', 'discourse', 'help', 'commentary', 'preliminary', 'object', 'concentration', 'subject', 'meditation', 'accords', 'ones', 'character', 'temperament', 'cognizing', 'slant', 'mentioned', 'earlier', 'instance', 'extrovert', 'mentally', 'languid', 'person', 'cognizing', 'slant', 'intuitive', 'temperamentally', 'slow', 'mind', 'contemplation', 'breathing', 'suit', 'preliminary', 'object']"
95,[]
96,"['finds', 'explanation', 'given', 'commentary', 'discourse', 'mindfulness', 'preliminary', 'object', 'chooses', 'insufficient', 'read', 'exposition', 'path', 'purification', 'visuddhi', 'magga', 'commentator', 'teacher', 'buddhist', 'meditation', 'consult', 'ask', 'elucidation', 'difficult', 'points', 'connected', 'meditative', 'practice']"
97,[]
98,"['necessary', 'read', 'portions', 'commentary', 'contemplation', 'feeling', 'consciousness', 'hindrances', 'sensebases', 'factors', 'enlightenment', 'contemplation', 'mental', 'objects', 'information', 'obstacles', 'aids', 'concentration', 'preliminary', 'object']"
99,[]
100,"['concentration', 'preliminary', 'object', 'say', 'breath', 'feeling', 'thought', 'interferes', 'concentration', 'arises', 'contemplate', 'interfering', 'phenomenon', 'manner', 'accords', 'exposition', 'feeling', 'consciousness', 'hindrances', 'sensebases', 'commentary', 'interference', 'disappears', 'revert', 'preliminary', 'object']"
101,[]
102,"['similarly', 'attending', 'preliminary', 'object', 'overactiveness', 'slackness', 'present', 'overcome', 'method', 'taught', 'exposition', 'factors', 'enlightenment', 'commentary', 'steady', 'work', 'possible', 'object', 'concentration', 'useful', 'bear', 'mind', 'favorable', 'unfavorable', 'qualities', 'increase', 'pondering', 'decrease', 'turning', 'away', 'attention']"
103,[]
104,"['beginning', 'practice', 'mindfulness', 'aware', 'ones', 'actions', 'speech', 'thoughts', 'drive', 'good', 'cowherd', 'charge', 'healthy', 'pastures', 'helpful', 'habit', 'preparing', 'mind', 'proceeding', 'act', 'pause', 'initiating', 'new', 'activities', 'practice', 'learns', 'act', 'deliberately', 'consciously', 'circumspection', 'spur', 'moment', 'prepared', 'face', 'consequences', 'proper', 'sense', 'responsibility']"
105,[]
106,"['wholetime', 'practice', 'mindfulness', 'consists', 'carrying', 'following', 'activities', 'contemplation', 'proper', 'time', 'attention', 'preliminary', 'object', 'concentration', 'reflection', 'modes', 'deportment', 'clear', 'comprehension', 'attending', 'preliminary', 'object', 'good', 'reason', 'reflecting', 'modes', 'deportment', 'doing', 'clear', 'comprehension']"
107,[]
108,"['wholetime', 'practice', 'mindfulness', 'carried', 'differences', 'degree', 'intensiveness', 'practice', 'according', 'busyness', 'individual', 'busy', 'external', 'activities', 'time', 'disposal', 'attending', 'preliminary', 'object', 'steady', 'reflection', 'deportment', 'penetratively', 'clear', 'comprehension', 'try', 'cut', 'slow', 'rightly', 'reasonably', 'ones', 'external', 'activities']"
109,[]
110,"['reflects', 'movements', 'clearly', 'comprehends', 'states', 'activity', 'rest', 'taught', 'commentary', 'mind', 'turned', 'selfmastery', 'preliminary', 'object', 'basis', 'practice', 'resort', 'aspirant', 'main', 'object', 'ground', 'contemplation']"
111,[]
112,"['way', 'mindfulness', 'objective', 'way', 'viewing', 'whatsoever', 'reckons', 'just', 'present', 'stopping', 'garrulity', 'ones', 'mind', 'lets', 'objects', 'speak', 'unfold', 'character', 'patient', 'pursuit', 'meaning', 'things', 'readiness', 'thought', 'experience', 'breath', 'tolerance', 'predisposes', 'mind', 'receive', 'impressions', 'truth', 'induces', 'inner', 'pliancy', 'mood', 'spiritual', 'receptivity', 'necessary', 'highest', 'intuition']"
113,[]
114,"['mindfulness', 'way', 'wishes', 'inner', 'happiness', 'men', 'old', 'irrespective', 'school', 'thought', 'belonged', 'underlined', 'importance', 'buddhas', 'teaching', 'point', 'friendly', 'letter', 'nagarjuna', 'says', 'happy', 'sugata', 'said', 'way', 'walked', 'mindfulness', 'directed', 'bodywards', 'resolutely', 'mindfulness', 'lacking', 'good', 'dhamma', 'decays', 'san', 'tideva', 'bodhicaryavatara', 'says', 'mind', 'tusker', 'maddened', 'passion', 'bound', 'completely', 'rope', 'mindfulness', 'perils', 'disappear', 'blessings', 'come']"
115,[]
116,"['theravada', 'countries', 'southeast', 'asia', 'way', 'arousing', 'mindfulness', 'wellknown', 'appreciated', 'especially', 'burma', 'today', 'monk', 'layman', 'time', 'time', 'solitude', 'training', 'way', 'guidance', 'meditationmaster', 'burmese', 'meditation', 'monasteries', 'meditator', 'given', 'separate', 'cell', 'allowed', 'speak', 'meditation', 'master', 'time', 'training', 'books', 'repetition', 'formulae', 'permitted']"
117,[]
118,"['business', 'meditator', 'mindfulness', 'going', 'waking', 'state', 'making', 'inhalations', 'exhalations', 'basic', 'subject', 'meditation', 'mindful', 'postures', 'completely', 'aware', 'behavior', 'going', 'forwards', 'attend', 'feelings', 'thoughts', 'ideas', 'arise', 'according', 'instructions', 'meditation', 'master', 'seldom', 'stretch', 'hard', 'training', 'extend', 'month']"
119,[]
120,"['aim', 'meditation', 'master', 'lessen', 'conceptualizing', 'proclivities', 'pupil', 'lead', 'appreciating', 'nature', 'thing', 'encouraging', 'bare', 'pure', 'mindfulness', 'letting', 'transcience', 'characteristics', 'mental', 'bodily', 'objects', 'clear', 'dint', 'concentrated', 'attention', 'true', 'understanding', 'reality', 'resort', 'based', 'profound', 'personal', 'experience', 'change', 'character', 'meditator', 'final', 'irrevocable', 'way', 'arahantship', 'contemplated', 'method', 'meditation', 'master', 'load', 'pupils', 'mind', 'particulars', 'commentary', 'selects', 'just', 'necessary', 'pupils', 'progress', 'instructs', 'accordingly']"
121,[]
122,"['continued', 'practice', 'arousings', 'mindfulness', 'instills', 'meditator', 'habit', 'systematic', 'proper', 'attention', 'yoniso', 'manasikara', 'regarding', 'details', 'thing', 'accustoms', 'test', 'phenomena', 'inherent', 'characteristics', 'transience', 'forth', 'gradually', 'learns', 'turn', 'away', 'worldlings', 'view', 'things', 'look', 'way', 'condition', 'cause', 'dependent', 'origination', 'element', 'spirit', 'dhamma']"
123,[]
124,"['discourse', 'arousing', 'mindfulness', 'discourses', 'repeated', 'buddhists', 'traditional', 'importance', 'seen', 'use', 'viaticum', 'support', 'passing', 'away', 'life', 'use', 'deathbed', 'discourse', 'points', 'mindfulness', 'foremost', 'qualities', 'needed', 'holy', 'living', 'quality', 'holy', 'dying', 'truly', 'thing']"
125,[]
126,"['soma', 'thera']"
127,"['discourse', 'arousing', 'mindfulness']"
128,"['origin', 'discourse', 'way']"
129,[]
130,['heard']
131,[]
132,"['time', 'blessed', 'living', 'kurus', 'kammasadamma', 'markettown', 'kuru', 'people']"
133,[]
